"Youth not in employment, education or training (NEET)"
"15-29 year-old men, % in same age group, 2022"
"Category","Youth not in employment, education or training (NEET)"
"Italy",21.800941
"Türkiye",17.349728
"Spain",16.434107
"Greece",15.116306
"Switzerland",13.727206
"France",13.219399
"United States",12.724692
"Estonia",12.616929
"Canada",12.126245
"Finland",11.752137
"Israel",11.608784
"Lithuania",11.104036
"OECD - Average",11.061154
"Slovak Rep.",10.892552
"Poland",10.73541
"United Kingdom",10.661077
"Portugal",10.595481
"New Zealand",10.461237
"Austria",10.260771
"Denmark",10.067802
"Latvia",9.7696037
"Slovenia",9.2327051
"Belgium",9.2283125
"Mexico",9.2104225
"Ireland",8.3670883
"Hungary",8.3177242
"Australia",8.27843
"Germany",7.4568634
"Sweden",7.0940819
"Iceland",6.7592177
"Norway",6.6019416
"Czechia",6.5497351
"Netherlands",4.3155031
