"Youth not in employment, education or training (NEET)"
"15-29 year-olds, % in same age group, 2022"
"Category","Youth not in employment, education or training (NEET)"
"Türkiye",27.931236
"Italy",22.926674
"Mexico",19.481358
"Spain",16.476675
"Greece",16.008015
"United States",14.460077
"Switzerland",13.61737
"France",13.419604
"Israel",13.262645
"Poland",13.110146
"OECD - Average",12.645776
"Slovak Rep.",12.498469
"Lithuania",12.232728
"Czechia",11.880925
"Latvia",11.87536
"New Zealand",11.767667
"Estonia",11.421142
"Finland",11.111111
"Portugal",11.070194
"Canada",10.975089
"Hungary",10.793528
"United Kingdom",10.59578
"Austria",10.524028
"Denmark",10.302072
"Slovenia",10.191147
"Australia",9.6200047
"Belgium",9.598608
"Ireland",8.9449272
"Germany",8.8567152
"Sweden",7.2800698
"Luxembourg",6.6787729
"Iceland",6.6774082
"Norway",6.4805584
"Netherlands",4.52104
