state,men,women
Alabama,13.04,17.46
Alaska,18.75,17.82
Arizona,15.25,13.71
Arkansas,15.86,18.9
California,14.05,14.85
Colorado,11.7,15.1
Connecticut,11.62,8.79
Delaware,12.17,13.91
District of Columbia,16.41,15.16
Florida,13.29,15.06
Georgia,15.42,14.45
Hawaii,11.21,13.32
Idaho,14.93,12.78
Illinois,14.61,12.89
Indiana,13.35,15.01
Iowa,11.69,10.4
Kansas,12.11,10.71
Kentucky,13.99,19.22
Louisiana,14.68,18.18
Maine,9.04,11.02
Maryland,12.42,16.03
Massachusetts,12.25,10.13
Michigan,17.04,16.96
Minnesota,8.12,8.33
Mississippi,18.72,18.7
Missouri,10.86,20.55
Montana,12.97,13.0
Nebraska,9.95,8.12
Nevada,20.15,12.87
New Hampshire,10.98,9.17
New Jersey,10.06,11.63
New Mexico,20.45,14.33
New York,15.47,14.2
North Carolina,14.27,15.83
North Dakota,12.0,14.53
Ohio,14.31,13.67
Oklahoma,14.45,18.47
Oregon,11.92,10.36
Pennsylvania,15.19,11.99
Rhode Island,15.61,10.42
South Carolina,14.66,14.78
South Dakota,9.72,11.31
Tennessee,16.45,20.36
Texas,14.29,15.91
Utah,12.34,11.73
Vermont,13.32,9.29
Virginia,13.86,14.86
Washington,12.96,16.14
West Virginia,17.61,16.7
Wisconsin,10.85,7.76
Wyoming,13.68,19.33
