YEAR,men,women
1990,10.02,18.55
1991,11.5,19.69
1992,11.52,18.98
1993,10.83,18.3
1994,10.7,17.64
1995,10.51,17.59
1996,10.43,16.63
1997,10.02,15.2
1998,9.37,14.47
1999,9.28,14.4
2000,9.21,14.37
2001,10.33,14.63
2002,11.05,15.3
2003,11.19,15.09
2004,10.81,14.88
2005,10.78,14.62
2006,10.01,14.28
2007,10.36,14.05
2008,11.74,14.36
2009,14.5,15.24
2010,14.9,15.37
2011,13.7,15.06
2012,13.05,14.64
2013,14.01,15.53
2014,13.03,14.71
2015,12.15,13.86
2016,11.77,13.01
2017,10.82,12.02
2018,10.94,12.13
2019,10.84,11.61
2020,14.35,14.63
2021,12.98,13.42
2022,11.78,12.81
2023,11.56,12.19
2024,12.05,12.53
