YEAR,race_cat,men,women
1990,asian,6.09,12.25
1990,black,19.42,28.63
1990,hispanic,12.2,30.82
1990,other,15.07,25.23
1990,white,7.85,14.28
1991,asian,7.68,14.56
1991,black,21.53,30.0
1991,hispanic,14.44,31.56
1991,other,15.37,29.62
1991,white,9.02,15.22
1992,asian,7.14,13.86
1992,black,22.0,29.5
1992,hispanic,15.11,30.69
1992,other,16.56,29.55
1992,white,8.79,14.39
1993,asian,6.68,13.76
1993,black,20.8,27.07
1993,hispanic,13.98,31.83
1993,other,14.05,27.55
1993,white,8.26,13.56
1994,asian,6.24,11.24
1994,black,19.75,25.02
1994,hispanic,13.55,31.54
1994,other,13.93,23.9
1994,white,8.36,13.42
1995,asian,5.83,13.48
1995,black,19.9,23.9
1995,hispanic,14.11,31.89
1995,other,13.97,18.3
1995,white,7.97,13.49
1996,asian,7.0,12.41
1996,black,19.73,23.22
1996,hispanic,13.63,29.97
1996,other,17.61,19.81
1996,white,7.88,12.53
1997,asian,6.41,11.42
1997,black,21.21,21.39
1997,hispanic,12.42,25.89
1997,other,17.78,25.92
1997,white,7.16,11.53
1998,asian,7.63,8.66
1998,black,18.44,19.25
1998,hispanic,11.84,25.44
1998,other,15.09,25.53
1998,white,6.89,11.07
1999,asian,7.23,9.19
1999,black,17.88,18.46
1999,hispanic,11.55,26.19
1999,other,14.74,18.67
1999,white,6.99,11.05
2000,asian,6.24,9.63
2000,black,18.65,18.78
2000,hispanic,10.19,24.73
2000,other,15.02,18.69
2000,white,6.95,10.89
2001,asian,7.51,9.69
2001,black,20.08,19.33
2001,hispanic,10.94,24.5
2001,other,14.38,22.03
2001,white,8.16,11.0
2002,asian,8.1,10.13
2002,black,20.17,21.12
2002,hispanic,12.49,24.82
2002,other,16.68,18.08
2002,white,8.68,11.57
2003,asian,8.09,10.44
2003,black,20.19,19.74
2003,hispanic,12.41,24.5
2003,other,17.38,19.32
2003,white,8.93,11.75
2004,asian,6.11,10.56
2004,black,18.3,18.62
2004,hispanic,12.72,24.62
2004,other,16.42,17.78
2004,white,8.78,11.63
2005,asian,7.02,10.03
2005,black,20.31,18.23
2005,hispanic,12.04,24.69
2005,other,15.76,15.78
2005,white,8.44,11.36
2006,asian,8.39,10.07
2006,black,17.76,18.16
2006,hispanic,10.05,23.67
2006,other,14.56,14.67
2006,white,8.24,11.1
2007,asian,6.68,10.76
2007,black,17.2,18.26
2007,hispanic,11.69,22.62
2007,other,14.4,15.31
2007,white,8.54,10.81
2008,asian,6.93,10.17
2008,black,18.33,19.37
2008,hispanic,13.04,22.94
2008,other,17.26,15.46
2008,white,9.97,10.93
2009,asian,7.58,11.41
2009,black,22.11,20.27
2009,hispanic,16.04,22.42
2009,other,19.4,18.57
2009,white,12.58,12.01
2010,asian,10.23,11.04
2010,black,21.62,19.72
2010,hispanic,16.47,21.71
2010,other,18.9,17.94
2010,white,13.02,12.53
2011,asian,8.74,10.81
2011,black,21.34,19.07
2011,hispanic,14.81,20.38
2011,other,18.64,18.1
2011,white,11.64,12.53
2012,asian,7.29,11.81
2012,black,20.84,19.19
2012,hispanic,14.2,19.27
2012,other,16.78,18.24
2012,white,11.01,11.8
2013,asian,9.0,10.96
2013,black,21.95,19.03
2013,hispanic,14.55,19.97
2013,other,17.66,19.41
2013,white,12.1,13.14
2014,asian,8.47,9.94
2014,black,21.34,19.27
2014,hispanic,12.67,18.78
2014,other,15.47,18.55
2014,white,11.38,12.17
2015,asian,8.05,9.38
2015,black,18.81,17.64
2015,hispanic,12.81,17.44
2015,other,16.14,16.75
2015,white,10.39,11.71
2016,asian,6.97,9.59
2016,black,17.94,15.81
2016,hispanic,12.78,16.1
2016,other,14.67,15.86
2016,white,10.11,11.17
2017,asian,7.89,8.2
2017,black,17.14,13.59
2017,hispanic,11.16,15.89
2017,other,14.66,13.1
2017,white,9.15,10.34
2018,asian,7.9,10.87
2018,black,16.86,14.93
2018,hispanic,11.29,14.65
2018,other,15.05,14.23
2018,white,9.35,10.28
2019,asian,6.25,8.15
2019,black,16.64,14.57
2019,hispanic,10.81,13.98
2019,other,14.64,13.15
2019,white,9.68,10.07
2020,asian,11.26,11.99
2020,black,20.77,18.68
2020,hispanic,15.38,17.47
2020,other,17.14,15.41
2020,white,12.45,12.51
2021,asian,9.69,10.44
2021,black,17.9,17.85
2021,hispanic,14.03,15.67
2021,other,16.73,15.36
2021,white,11.39,11.42
2022,asian,9.41,8.87
2022,black,15.68,16.56
2022,hispanic,12.33,14.81
2022,other,13.61,13.9
2022,white,10.69,11.22
2023,asian,8.15,8.93
2023,black,17.18,13.24
2023,hispanic,11.94,14.9
2023,other,13.35,15.11
2023,white,10.2,10.74
2024,asian,8.02,9.4
2024,black,17.73,15.43
2024,hispanic,13.46,14.6
2024,other,14.73,13.7
2024,white,10.16,10.97
