year,in_school_emp,in_school_notinlf,in_school_unemp_inlf,notin_school_emp,notin_school_notinlf,notin_school_unemp_inlf
1990,20.246083571157904,26.02496937685644,2.751826600749302,40.95986401988744,4.456171606982902,5.56108482436602
1991,19.574347612103132,26.82015163971369,3.351226688967569,38.75227701909334,4.89996631315446,6.602030726967807
1992,19.968667086324036,27.164620226229207,3.748058711741294,37.599885398792054,4.647171656129529,6.871596920783872
1993,20.263520507464197,27.581008400099844,3.628515497299243,37.701905901768114,4.592440135225264,6.232609558143344
1994,21.676117974965948,26.938190648955096,3.405498277731373,37.28457257508143,5.048937166876823,5.646683356389347
1995,21.552185247437887,26.90563731455558,3.2436910421771965,37.785760426640095,5.184318079937957,5.328407889251276
1996,22.008005585095226,28.093464031271886,3.255787588107069,36.2174247134024,5.079936077704973,5.345382004418433
1997,22.28935634918124,28.52062314507588,3.1279500706189443,36.04277580973699,5.171746401817072,4.847548223569884
1998,22.80327014373421,28.055869598974077,3.036618839300668,36.73782956023861,5.010969133397894,4.355442724354535
1999,23.117502412036362,28.456234469611847,2.697880053271363,36.44739391489809,5.028326474436689,4.25266267574565
2000,22.57255762874724,28.181148910174773,2.4539269304672056,37.57961357479315,5.0625981805432385,4.150154775274397
2001,21.80710817773314,28.953693888139476,2.6916403746871067,36.21613033804591,5.408459798233878,4.922967423160483
2002,20.354881095084153,30.46578865459687,2.7404447322576297,35.392507148183746,5.527899398177477,5.518478971700127
2003,20.052964840276015,31.490391958286736,2.730525208116058,34.532369670038236,5.626411614675473,5.567336708607487
2004,19.586787388023616,31.869703053987376,2.8451498466462715,34.886278317540786,5.731510345621076,5.080571048180874
2005,20.1542636969945,31.97452228594585,2.853899390564227,34.23420281308484,5.941033422670563,4.842078390740012
2006,20.07989391159752,32.33111138337027,2.4851414804900345,35.0893335159957,5.460004101649257,4.554515606897224
2007,19.035655685461776,33.68730366359233,2.375769904798692,34.537090335696206,5.713584171372163,4.650596239078812
2008,18.188910784693984,34.58305911625415,2.9125891482338426,32.57742047009248,6.119643591838404,5.618376888887135
2009,16.661135485292522,36.16479978635583,3.702488963383806,28.976515492064912,6.5877905319219385,7.907269740980993
2010,16.365722185252608,36.99809171073431,3.692501243317566,28.041881743950643,6.950118827687386,7.951684289057488
2011,16.342097697260993,37.98011924022964,3.4156703379675544,28.566098115864513,6.69799305285723,6.998021555820065
2012,16.79755270398996,38.14933195131872,3.2706307089428557,28.729392141486727,6.814605518909866,6.238486975351866
2013,15.483206965397978,37.48967528033965,3.0046452768338785,30.012095112498553,7.755314779177012,6.255062585752927
2014,15.586929796053822,37.59959444237509,2.4686703056857486,31.314437972643184,7.474756968176951,5.555610515065202
2015,16.017566772307017,37.64707796965569,2.1871342365554236,31.99461156568535,7.37319922055491,4.780410235241612
2016,16.698141250386723,37.32764954495653,2.082066743103074,32.12536788447876,7.645786744454741,4.120987832620182
2017,16.908298138673754,37.83135892588447,1.9343377875767078,32.504336473193455,7.00552456033041,3.816144114341201
2018,16.516084213107323,37.80548811975154,1.6396058053246798,33.10151537628099,7.385450840784545,3.5518556447509155
2019,16.6904741458068,37.54774519919478,1.6393447801835377,33.283291283694794,7.197951662994807,3.6411929281252746
2020,14.687590777148266,37.28840830487739,2.3732666660175585,31.30233899043105,9.10122219057341,5.247173070952333
2021,15.286357218725206,36.35886742766242,1.4946044041339686,33.87594365103825,8.688863095437691,4.295364203002461
2022,15.883895561248659,36.22166520314561,1.2540950839479548,34.8562700302883,8.2632440821015,3.5208300392679885
2023,15.478272751926667,35.73559790868592,1.3245465238975498,35.90068085536496,8.132885408731324,3.4280165513935796
2024,15.542392475656127,35.779507285505524,1.6844064041219644,34.94186254028118,8.4595491680241,3.592282126411101
