year,in_school_emp,in_school_notinlf,in_school_unemp_inlf,notin_school_emp,notin_school_notinlf,notin_school_unemp_inlf
1990,20.51966195273824,24.43600697285988,2.264056292032006,34.225318612544136,14.370163783847536,4.18479238597819
1991,20.6270900806079,24.702949608846765,2.6694726453270383,32.308673770589365,14.937537086694563,4.754276807934354
1992,20.57060606733872,25.735653314603464,2.86700348267524,31.84461760014099,14.278757897172675,4.703361638068923
1993,21.081645307093073,25.886155053260566,2.8577699517045514,31.870549595757282,13.842823239274907,4.461056852909619
1994,23.272935247048892,25.676693715887673,2.826237651492623,30.579881959468974,13.472040418059652,4.172211008042178
1995,23.24347901529889,25.83955470211886,2.794518008779309,30.535469229576513,13.468804437213564,4.1181746070128655
1996,24.060504610672467,26.54876431256479,2.7552799570446767,30.005910612728208,12.547461820782807,4.082078686207058
1997,24.774944839109935,27.230656378011563,2.7234437890426384,30.07350333950441,11.328285933471644,3.869165720859809
1998,25.90572332286057,26.865486494627444,2.4138164192192466,30.340447657913227,11.024587759647961,3.4499383457315473
1999,25.484833798221263,27.235566476660367,2.3683486227554136,30.5111350371204,11.036564327048078,3.3635517381944826
2000,25.29785431493332,26.85775081039392,2.1347292552740793,31.339442675797518,11.020641251515203,3.3495816920859527
2001,24.863072798506202,27.407560810955147,2.1691474024078676,30.93338425455047,11.076019091785133,3.5508156417951806
2002,24.33962982701406,28.659843159121007,2.557104265048133,29.141975847275475,11.302605070746475,3.9988418307948503
2003,23.82465723180043,30.9885876108695,2.489939350119434,27.603237215383547,11.20480242613274,3.888776165694353
2004,24.333975890009373,31.032906540935684,2.4760055771212137,27.27661883709854,11.117050227703764,3.7634429271314294
2005,24.128464154178424,31.117599984461624,2.383435397149692,27.749548153644433,11.296172956797221,3.3247793537686054
2006,24.14657356715608,31.987076216566212,2.1101291177937798,27.474042347670242,11.08800578776244,3.1941729630512423
2007,24.00730062618051,32.561349092148575,2.125858076005447,27.256689949971708,10.986507966050423,3.0622942896433245
2008,23.323228987805315,33.424410458647785,2.482929325888205,26.413331330055012,10.936598341619714,3.4195015559839783
2009,21.736799751956422,35.15336163913045,2.9842807562987397,24.887546437764325,10.630864966784037,4.60714644806603
2010,20.705682803198687,36.47124200786421,3.3905936475425733,24.06241800820001,10.61490846215751,4.755155071036998
2011,20.97231126642153,37.03035508074926,3.103705384893294,23.8319241408426,10.257777224529194,4.803926902564123
2012,20.959829712973153,37.39654797720789,2.9994691381962237,24.006230827775912,10.215635924082976,4.422286419763859
2013,20.022327387347865,36.266022243741034,2.722462720925877,25.4558482470214,11.120004825450083,4.413334575513747
2014,20.2506329458667,35.914142664659394,2.296869404731917,26.82754979624381,10.762100742343794,3.9487044461543808
2015,20.30136517571256,36.70408475397197,1.802838260708644,27.329942494128655,10.378678815205939,3.4830905002722288
2016,21.075736273453394,36.81106768613221,1.7710214145872742,27.335838952493614,9.994534944134536,3.0118007291989657
2017,21.483807705051394,36.9446803684622,1.7253546141449558,27.828029710863323,9.515218506260242,2.502909095217883
2018,21.60927952383881,36.623337786270454,1.6011059622127382,28.038941086971597,9.70321876963188,2.4241168710745145
2019,21.54685952315123,36.459760543909276,1.4451490819500024,28.940534159874016,9.212428327400248,2.395268363715224
2020,18.44385468852679,37.07950650199508,3.0191020154996333,26.829127995546752,10.531471358374812,4.096937440056927
2021,20.60324718345816,36.07187108960902,1.639187161192738,28.26210081607941,10.429900805454368,2.9936929442063107
2022,21.072986863268383,36.20995439652568,1.4246149754803783,28.4871522416089,10.308950857866819,2.4963406652498468
2023,21.33276708294506,34.98620886762407,1.3218589058010262,30.16779387203164,9.667268447422725,2.524102824175474
2024,21.417074783522907,35.265082302199865,1.5497340235574115,29.23884894944368,9.931586674612515,2.597673266663626
